question,target,response,ans_tok,tok_prob,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,infosel_logit,prom46_score,extracted_prom46_score
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,'(Harry) Sinclair Lewis',...Upton Sinclair,"['...', 'U', 'pton', 'S', 'inc', 'la', 'ir', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.06138578809852266, 0.5844438351839328, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6597073674201965,Upton Sinclair,"['U', 'pton', 'S', 'inc', 'la', 'ir']",0.9143738494424168,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer specifies 'Sinclair Lewis', while the response only provides 'Upton Sinclair'. The two individuals are different, and thus, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
Where in England was Dame Judi Dench born?,'Park Grove (1895)',? London,"['?', 'London', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.3719469820199438, 0.8308020207989132, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6760718822479248,London,['London'],0.8308020207989132,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer specifies the exact location of Dame Judi Dench's birth, which is Park Grove in 1895. The response only mentions London, which is too broad and does not provide the specific information required by the instruction. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
In which decade did Billboard magazine first publish and American hit chart?,"""30's""",answers 3,"['answers', '', '3', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.09710169565243355, 0.018919205745835853, 0.24988704396931993, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1463754922151565,answers 3,"['answers', '3']",0.15577052253554,0.0,"{0: '\n        The response ""answers 3"" does not provide a semantically equivalent answer to the instruction ""In which decade did Billboard magazine first publish and American hit chart?"". The reference answer is ""30\'s"", which is a string representation of a decade. The response ""answers 3"" does not provide a string representation of a decade, but rather a statement about the existence of an answer with the number 3. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
From which country did Angola achieve independence in 1975?,'Portogało',"

Angola - Portugal","['\n', '\n', 'Ang', 'ola', '-', 'Portugal', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.24777357615588233, 1.0, 0.14623064999247543, 1.0, 0.8169875885993142, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6048052310943604,Angola - Portugal,"['Ang', 'ola', '-', 'Portugal']",0.5879135467327543,0.0,"{0: ""\n        The response correctly identifies the country from which Angola achieved independence in 1975, which is Portugal. However, the response format does not match the reference answer format. The reference answer is written in a single word, while the response is written in a two-word format. To achieve a score of 1, the response should be written in the same format as the reference answer. Therefore, the response should be 'Portugal' instead of 'Angola - Portugal'. [RESULT] 0""}",0.0
Which city does David Soul come from?,'Chi-Beria',answer: London,"['answer', ':', 'London', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.4302804365943115, 1.0, 0.40983933350912083, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.648024320602417,London,['London'],0.4098393335091208,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that David Soul comes from 'Chi-Beria', which is a fictional place from the TV show Starsky & Hutch. The response provided, London, is not related to the reference answer or the instruction. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
Who won Super Bowl XX?,'Chicago Bears',Comment:  Bears,"['Comment', ':', '', 'B', 'ears', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.008977467151560947, 0.8547635084372476, 0.02853860423066077, 0.14933113803708248, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1788258999586105,Comment:  Bears,"['Comment', 'B', 'ears']",0.1102642513631516,0.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the Chicago Bears won Super Bowl XX. The response is concise and accurate, meeting the requirements of the instruction. [RESULT] 1'}",1.0
Which was the first European country to abolish capital punishment?,'Norvège',answer: Norway,"['answer', ':', 'Norway', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.27007114035243324, 1.0, 0.16759627700989685, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4612491726875305,Norway,['Norway'],0.1675962770098968,0.0,"{1: ""\n        The response 'Norway' is semantically equivalent to the reference answer 'Norvège', as they both refer to the same country. Therefore, the response meets the criteria of the score rubric and should receive a score of 1. [RESULT] 1""}",1.0
In which country did he widespread use of ISDN begin in 1988?,'日本國',s – Japan,"['s', '–', 'Japan', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.10671641399476722, 0.022906014902612015, 0.864647438396654, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2144149094820022,s – Japan,"['s', '–', 'Japan']",0.1283334709280121,0.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate that Japan was the country where the widespread use of ISDN began in 1988. The response is written in English, while the reference answer is in Chinese, but they convey the same information. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
What is Bruce Willis' real first name?,'Walter (TV Series)',answer: BRUCE,"['answer', ':', 'BR', 'U', 'CE', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.251761622870129, 1.0, 0.233950654656099, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6237620711326599,BRUCE,"['BR', 'U', 'CE']",0.6161806957953893,0.0,"{0: ""\n        The response provided is the same as the name of the actor, which is Bruce Willis. However, the instruction asks for Bruce Willis' real first name, not his stage name. The reference answer is 'Walter', which is the name of a TV series, not a person. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
Which William wrote the novel Lord Of The Flies?,'Golding',answer: William Golding,"['answer', ':', 'William', 'Gold', 'ing', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.4039663294096953, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8597869277000427,William Golding,"['William', 'Gold', 'ing']",1.0,0.0,"{1: '\n        The response and reference answer are semantically equivalent, as both correctly identify the author of Lord Of The Flies as William Golding. Therefore, the response meets the criteria for a score of 1. [RESULT] 1'}",1.0
Which innovation for the car was developed by Prince Henry of Prussia in 1911?,'Rear-window wiper',...Fuel injection,"['...', 'F', 'uel', 'injection', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.06791405618501613, 0.09093631229130661, 0.6157644231186038, 1.0, 0.8606655839017306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3184118270874023,Fuel injection,"['F', 'uel', 'injection']",0.382575637434684,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Prince Henry of Prussia developed the rear-window wiper in 1911, while the response suggests that fuel injection was developed by him during the same time period. These two innovations are distinct and unrelated, thus the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
How is musician William Lee Conley better known?,'Bill Broonzy',answer: Willie,"['answer', ':', 'Will', 'ie', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.5435491336133441, 1.0, 0.1643447580163878, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6168774962425232,Willie,"['Will', 'ie']",0.4053945707781343,0.0,"{0: ""\n        The response 'Willie' is not semantically equivalent to the reference answer 'Bill Broonzy'. The instruction asks for the better known name of musician William Lee Conley, and the reference answer provides the correct alternative name. However, the response does not provide a name that is equivalent to the reference answer. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
How is Joan Molinsky better known?,'Queen of Comedy',"s
Joan Rivers","['s', '\n', 'Jo', 'an', 'R', 'ivers', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.27051424894736953, 0.1961355485481685, 1.0, 1.0, 0.5662466792120842, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6060884594917297,"s
Joan Rivers","['s', 'Jo', 'an', 'R', 'ivers']",0.6871303996591476,0.0,"{0: ""\n        The response provided is the correct name of the person being asked about, but it does not answer the question of how Joan Molinsky is better known. The reference answer provides the correct title that Joan Molinsky is better known by, which is 'Queen of Comedy'. Therefore, the response and reference answer are not semantically equivalent, and the score is 0. [RESULT] 0""}",0.0
In which branch of the arts is Patricia Neary famous?,'Ballet',answer: Visual Arts,"['answer', ':', 'Visual', 'Arts', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.6047750952338862, 1.0, 0.20194068268162413, 0.4808974650324576, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5672493577003479,Visual Arts,"['Visual', 'Arts']",0.3116292065717155,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Patricia Neary is famous in the field of Ballet, which is a performing art. However, the response suggests that she is famous in the Visual Arts, which is a different branch of the arts. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
Which country is Europe's largest silk producer?,'Environment of Italy',? Italy,"['?', 'Italy', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.16060735343827737, 0.9377140540644884, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5320412516593933,Italy,['Italy'],0.9377140540644884,0.0,"{0: '\n        The response and reference answer are not semantically equivalent. The reference answer is a phrase that does not directly answer the question. It is a part of the environment of Italy, but it does not specify whether Italy is the largest silk producer in Europe. The response, on the other hand, is a direct answer to the question, stating that Italy is the largest silk producer in Europe. Therefore, the response and reference answer are not semantically equivalent, and the score should be 0. [RESULT] 0'}",0.0
The VS-300 was a type of what?,'🚁',answer: Camera,"['answer', ':', 'Camera', '</s>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>', '<unk>']","[0.5791430551964528, 1.0, 0.6947468291396212, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.796440064907074,Camera,['Camera'],0.6947468291396212,0.0,"{0: '\n        The response ""Camera"" does not match the reference answer ""🚁"". The reference answer is a helicopter emoji, which indicates that the VS-300 is a type of helicopter. Therefore, the response ""Camera"" is incorrect and does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
